sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
511,62:47:05:9D:EB:15,3853202,497276415,6745,12182072,3846457,485094343,1,6960,3801641,6910,3793983,50,7658,3314,0,6809,56,1,125,229410.0,130000.0,-44.0,-45.0,-36.0,-50.0,-43.0,-44.0,-35.0,-49.0,-90.0,-92.0,-89.0,-92.0,46.0,47.0,53.0,42.0,1
512,92:69:1D:31:68:E9,3850500,488746808,4043,3652465,3846457,485094343,1,5383,1156164,5214,1117781,169,38383,2200,12,4295,103,1,61,229410.0,130000.0,-52.0,-48.0,-42.0,-49.0,-51.0,-47.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,38.0,44.0,47.0,43.0,1
513,CC:2F:71:3F:1F:24,5010494,1817049150,1164037,1331954807,3846457,485094343,1730,975657,1104822867,974829,1104722797,828,100070,943446,15,1162662,119922,1727,760,130000.0,43333.0,-70.0,-70.0,-68.0,-76.0,-69.0,-69.0,-68.0,-76.0,-90.0,-92.0,-89.0,-92.0,20.0,22.0,21.0,16.0,1
514,CC:2F:71:3E:C5:1F,3847442,485214700,984,120297,3846458,485094403,2,4267,356233,3550,271097,717,85136,1043,13,1414,28,2,54,144444.0,43333.0,-73.0,-72.0,-70.0,-61.0,-73.0,-72.0,-70.0,-61.0,-90.0,-92.0,-89.0,-92.0,17.0,20.0,19.0,31.0,1
515,BA:8C:B9:54:50:24,3851385,491287945,4927,6193542,3846458,485094403,7,9733,1750358,9711,1746863,22,3495,2358,17,5427,41,7,70,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-46.0,-35.0,-43.0,-46.0,-90.0,-92.0,-89.0,-92.0,42.0,57.0,46.0,47.0,1
516,62:47:05:9D:EB:15,3853207,497276799,6745,12182072,3846462,485094727,1,6960,3801641,6910,3793983,50,7658,3314,0,6809,56,1,125,229410.0,130000.0,-44.0,-45.0,-36.0,-50.0,-43.0,-44.0,-35.0,-49.0,-90.0,-92.0,-89.0,-92.0,46.0,47.0,53.0,42.0,1
517,92:69:1D:31:68:E9,3850505,488747192,4043,3652465,3846462,485094727,1,5383,1156164,5214,1117781,169,38383,2200,12,4295,103,1,61,229410.0,130000.0,-52.0,-48.0,-42.0,-49.0,-51.0,-47.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,38.0,44.0,47.0,43.0,1
518,CC:2F:71:3F:1F:24,5010697,1817294171,1164235,1332199444,3846462,485094727,1730,975836,1105050802,975007,1104950614,829,100188,943625,15,1162860,119942,1727,760,130000.0,43333.0,-70.0,-69.0,-68.0,-77.0,-70.0,-69.0,-68.0,-76.0,-90.0,-92.0,-89.0,-92.0,20.0,23.0,21.0,15.0,1
519,CC:2F:71:3E:C5:1F,3847446,485215024,984,120297,3846462,485094727,2,4267,356233,3550,271097,717,85136,1043,13,1414,28,2,54,144444.0,43333.0,-73.0,-72.0,-70.0,-61.0,-73.0,-72.0,-70.0,-61.0,-90.0,-92.0,-89.0,-92.0,17.0,20.0,19.0,31.0,1
520,BA:8C:B9:54:50:24,3851389,491288269,4927,6193542,3846462,485094727,7,9733,1750358,9711,1746863,22,3495,2358,17,5427,41,7,70,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-46.0,-35.0,-43.0,-46.0,-90.0,-92.0,-89.0,-92.0,42.0,57.0,46.0,47.0,1
521,62:47:05:9D:EB:15,3853215,497277738,6745,12182072,3846470,485095666,1,6960,3801641,6910,3793983,50,7658,3314,0,6809,56,1,125,229410.0,130000.0,-44.0,-45.0,-36.0,-50.0,-43.0,-44.0,-35.0,-49.0,-90.0,-92.0,-89.0,-92.0,46.0,47.0,53.0,42.0,1
522,92:69:1D:31:68:E9,3850513,488748131,4043,3652465,3846470,485095666,1,5383,1156164,5214,1117781,169,38383,2200,12,4295,103,1,61,229410.0,130000.0,-52.0,-48.0,-42.0,-49.0,-51.0,-47.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,38.0,44.0,47.0,43.0,1
523,CC:2F:71:3F:1F:24,5010899,1817541148,1164429,1332445482,3846470,485095666,1730,976008,1105281744,975179,1105181556,829,100188,943796,15,1163054,119942,1727,761,130000.0,43333.0,-70.0,-69.0,-68.0,-75.0,-70.0,-69.0,-68.0,-75.0,-90.0,-92.0,-89.0,-92.0,20.0,23.0,21.0,17.0,1
524,CC:2F:71:3E:C5:1F,3847454,485215963,984,120297,3846470,485095666,2,4267,356233,3550,271097,717,85136,1043,13,1414,28,2,54,144444.0,43333.0,-73.0,-72.0,-70.0,-61.0,-73.0,-72.0,-70.0,-61.0,-90.0,-92.0,-89.0,-92.0,17.0,20.0,19.0,31.0,1
