sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
508,92:69:1D:31:68:E9,3763586,488320827,12610,15195685,3750976,473125142,3,18616,3493470,17948,3339958,668,153512,6332,101,13798,245,3,240,229410.0,130000.0,-52.0,-47.0,-43.0,-48.0,-52.0,-49.0,-44.0,-49.0,-90.0,-92.0,-88.0,-91.0,38.0,45.0,45.0,43.0,1
509,BA:8C:B9:54:50:24,3751103,473167243,124,41839,3750979,473125404,0,414,68787,397,66079,17,2708,123,1,151,1,0,0,229410.0,130000.0,-48.0,-35.0,-43.0,-45.0,-42.0,-36.0,-45.0,-49.0,-90.0,-92.0,-88.0,-91.0,42.0,57.0,45.0,46.0,1
510,CC:2F:71:3E:C5:1F,3751068,473137444,89,12040,3750979,473125404,0,375,35763,277,21339,98,14424,124,2,125,5,0,12,130000.0,39000.0,-70.0,-71.0,-67.0,-60.0,-69.0,-71.0,-67.0,-60.0,-90.0,-92.0,-88.0,-91.0,20.0,21.0,21.0,31.0,1
511,CC:2F:71:3F:1F:24,3778143,497270742,27164,24145338,3750979,473125404,8,16556,4770227,16431,4749286,125,20941,15356,7,27189,7568,8,46,130000.0,39000.0,-69.0,-67.0,-71.0,-68.0,-69.0,-67.0,-70.0,-68.0,-90.0,-92.0,-88.0,-91.0,21.0,25.0,17.0,23.0,1
512,92:69:1D:31:68:E9,3763590,488321205,12611,15195801,3750979,473125404,3,18618,3493606,17950,3340094,668,153512,6332,101,13799,245,3,240,229410.0,130000.0,-52.0,-46.0,-43.0,-49.0,-51.0,-48.0,-43.0,-49.0,-90.0,-92.0,-88.0,-91.0,38.0,46.0,45.0,42.0,1
513,BA:8C:B9:54:50:24,3751110,473167965,125,41955,3750985,473126010,0,420,69195,403,66487,17,2708,123,1,152,1,0,0,229410.0,130000.0,-40.0,-37.0,-46.0,-51.0,-41.0,-35.0,-43.0,-47.0,-90.0,-92.0,-88.0,-91.0,50.0,55.0,42.0,40.0,1
514,CC:2F:71:3E:C5:1F,3751074,473138050,89,12040,3750985,473126010,0,376,35833,278,21409,98,14424,124,2,125,5,0,12,130000.0,39000.0,-70.0,-71.0,-67.0,-60.0,-69.0,-71.0,-67.0,-60.0,-90.0,-92.0,-88.0,-91.0,20.0,21.0,21.0,31.0,1
515,CC:2F:71:3F:1F:24,3778187,497285320,27202,24159310,3750985,473126010,8,16580,4774703,16455,4753762,125,20941,15376,7,27227,7571,8,46,130000.0,43333.0,-69.0,-67.0,-71.0,-68.0,-68.0,-67.0,-70.0,-68.0,-90.0,-92.0,-88.0,-91.0,21.0,25.0,17.0,23.0,1
516,92:69:1D:31:68:E9,3763596,488321811,12611,15195801,3750985,473126010,3,18618,3493606,17950,3340094,668,153512,6332,101,13799,245,3,240,229410.0,130000.0,-52.0,-46.0,-43.0,-49.0,-51.0,-48.0,-43.0,-49.0,-90.0,-92.0,-88.0,-91.0,38.0,46.0,45.0,42.0,1
517,BA:8C:B9:54:50:24,3751112,473168167,125,41955,3750987,473126212,0,421,69263,404,66555,17,2708,123,1,152,1,0,0,229410.0,130000.0,-40.0,-37.0,-46.0,-51.0,-41.0,-35.0,-43.0,-47.0,-90.0,-92.0,-88.0,-91.0,50.0,55.0,42.0,40.0,1
