sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
3071,62:47:05:9D:EB:15,3884032,534107547,21302,46970531,3862730,487137016,1,17660,6012382,17564,5997923,96,14459,8152,3,21425,466,1,179,229410.0,130000.0,-42.0,-42.0,-41.0,-48.0,-42.0,-43.0,-40.0,-47.0,-87.0,-87.0,-84.0,-86.0,45.0,45.0,43.0,38.0,1
3072,92:69:1D:31:68:E9,3867162,490922051,4432,3785035,3862730,487137016,2,6559,1354195,6347,1305804,212,48391,2514,18,4762,130,2,80,229410.0,130000.0,-52.0,-48.0,-42.0,-48.0,-51.0,-48.0,-44.0,-47.0,-87.0,-87.0,-84.0,-86.0,35.0,39.0,42.0,38.0,1
3073,CC:2F:71:3F:1F:24,5463320,2314160584,1600590,1827023568,3862730,487137016,2286,1335206,1502742975,1334196,1502620181,1010,122794,1292088,15,1598668,144091,2283,969,144444.0,43333.0,-75.0,-71.0,-71.0,-74.0,-77.0,-73.0,-73.0,-76.0,-87.0,-87.0,-84.0,-86.0,12.0,16.0,13.0,12.0,1
3074,CC:2F:71:3E:C5:1F,3863885,487278145,1155,141129,3862730,487137016,3,5086,423203,4246,323553,840,99650,1221,17,1670,34,3,57,144444.0,43333.0,-73.0,-72.0,-68.0,-60.0,-71.0,-71.0,-67.0,-59.0,-87.0,-87.0,-84.0,-86.0,14.0,15.0,16.0,26.0,1
3075,BA:8C:B9:54:50:24,3867830,493377865,5098,6240647,3862732,487137218,7,10929,1841470,10907,1837975,22,3495,2402,20,5689,48,7,87,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-45.0,-35.0,-43.0,-46.0,-87.0,-87.0,-84.0,-86.0,39.0,52.0,41.0,41.0,1
3076,62:47:05:9D:EB:15,3884036,534108082,21302,46970531,3862734,487137551,1,17660,6012382,17564,5997923,96,14459,8152,3,21425,466,1,179,229410.0,130000.0,-42.0,-42.0,-41.0,-48.0,-42.0,-43.0,-40.0,-47.0,-87.0,-87.0,-84.0,-86.0,45.0,45.0,43.0,38.0,1
3077,92:69:1D:31:68:E9,3867166,490922586,4432,3785035,3862734,487137551,2,6559,1354195,6347,1305804,212,48391,2514,18,4762,130,2,80,229410.0,130000.0,-52.0,-48.0,-42.0,-48.0,-51.0,-48.0,-44.0,-47.0,-87.0,-87.0,-84.0,-86.0,35.0,39.0,42.0,38.0,1
3078,CC:2F:71:3F:1F:24,5463516,2314405558,1600782,1827268007,3862734,487137551,2286,1335380,1502972718,1334370,1502849924,1010,122794,1292262,15,1598860,144095,2283,969,144444.0,43333.0,-79.0,-73.0,-75.0,-77.0,-79.0,-72.0,-73.0,-75.0,-87.0,-87.0,-84.0,-86.0,8.0,14.0,9.0,9.0,1
3079,CC:2F:71:3E:C5:1F,3863889,487278680,1155,141129,3862734,487137551,3,5086,423203,4246,323553,840,99650,1221,17,1670,34,3,57,144444.0,43333.0,-73.0,-72.0,-68.0,-60.0,-71.0,-71.0,-67.0,-59.0,-87.0,-87.0,-84.0,-86.0,14.0,15.0,16.0,26.0,1
3080,BA:8C:B9:54:50:24,3867834,493378400,5098,6240647,3862736,487137753,7,10929,1841470,10907,1837975,22,3495,2402,20,5689,48,7,87,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-45.0,-35.0,-43.0,-46.0,-87.0,-87.0,-84.0,-86.0,39.0,52.0,41.0,41.0,1
3081,62:47:05:9D:EB:15,3884042,534108688,21302,46970531,3862740,487138157,1,17660,6012382,17564,5997923,96,14459,8152,3,21425,466,1,179,229410.0,130000.0,-42.0,-42.0,-41.0,-48.0,-42.0,-43.0,-40.0,-47.0,-87.0,-87.0,-84.0,-86.0,45.0,45.0,43.0,38.0,1
3082,92:69:1D:31:68:E9,3867172,490923192,4432,3785035,3862740,487138157,2,6559,1354195,6347,1305804,212,48391,2514,18,4762,130,2,80,229410.0,130000.0,-52.0,-48.0,-42.0,-48.0,-51.0,-48.0,-44.0,-47.0,-87.0,-87.0,-84.0,-86.0,35.0,39.0,42.0,38.0,1
3083,CC:2F:71:3F:1F:24,5463711,2314645788,1600969,1827507429,3862742,487138359,2286,1335548,1503197454,1334538,1503074660,1010,122794,1292430,15,1599047,144107,2283,969,130000.0,43333.0,-73.0,-71.0,-71.0,-74.0,-73.0,-71.0,-70.0,-74.0,-87.0,-87.0,-84.0,-86.0,14.0,16.0,13.0,12.0,1
3084,CC:2F:71:3E:C5:1F,3863897,487279488,1155,141129,3862742,487138359,3,5086,423203,4246,323553,840,99650,1221,17,1670,34,3,57,144444.0,43333.0,-73.0,-72.0,-68.0,-60.0,-71.0,-71.0,-67.0,-59.0,-87.0,-87.0,-84.0,-86.0,14.0,15.0,16.0,26.0,1
3085,BA:8C:B9:54:50:24,3867840,493379006,5098,6240647,3862742,487138359,7,10929,1841470,10907,1837975,22,3495,2402,20,5689,48,7,87,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-45.0,-35.0,-43.0,-46.0,-87.0,-87.0,-84.0,-86.0,39.0,52.0,41.0,41.0,1
3086,62:47:05:9D:EB:15,3884046,534109258,21302,46970531,3862744,487138727,1,17660,6012382,17564,5997923,96,14459,8152,3,21425,466,1,179,229410.0,130000.0,-42.0,-42.0,-41.0,-48.0,-42.0,-43.0,-40.0,-47.0,-87.0,-87.0,-84.0,-86.0,45.0,45.0,43.0,38.0,1
3087,92:69:1D:31:68:E9,3867177,490923822,4432,3785035,3862745,487138787,2,6559,1354195,6347,1305804,212,48391,2514,18,4762,130,2,80,229410.0,130000.0,-52.0,-48.0,-42.0,-48.0,-51.0,-48.0,-44.0,-47.0,-87.0,-87.0,-84.0,-86.0,35.0,39.0,42.0,38.0,1
3088,CC:2F:71:3F:1F:24,5463905,2314890374,1601160,1827751587,3862745,487138787,2286,1335718,1503426694,1334708,1503303900,1010,122794,1292600,15,1599238,144107,2283,969,144444.0,39000.0,-72.0,-70.0,-71.0,-73.0,-71.0,-69.0,-70.0,-73.0,-87.0,-87.0,-84.0,-86.0,15.0,17.0,13.0,13.0,1
3089,CC:2F:71:3E:C5:1F,3863900,487279916,1155,141129,3862745,487138787,3,5086,423203,4246,323553,840,99650,1221,17,1670,34,3,57,144444.0,43333.0,-73.0,-72.0,-68.0,-60.0,-71.0,-71.0,-67.0,-59.0,-87.0,-87.0,-84.0,-86.0,14.0,15.0,16.0,26.0,1
3090,BA:8C:B9:54:50:24,3867847,493379838,5098,6240647,3862749,487139191,7,10929,1841470,10907,1837975,22,3495,2402,20,5689,48,7,87,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-45.0,-35.0,-43.0,-46.0,-87.0,-87.0,-84.0,-86.0,39.0,52.0,41.0,41.0,1
3091,62:47:05:9D:EB:15,3884056,534110252,21302,46970531,3862754,487139721,1,17660,6012382,17564,5997923,96,14459,8152,3,21425,466,1,179,229410.0,130000.0,-42.0,-42.0,-41.0,-48.0,-42.0,-43.0,-40.0,-47.0,-87.0,-87.0,-84.0,-86.0,45.0,45.0,43.0,38.0,1
3092,92:69:1D:31:68:E9,3867186,490924756,4432,3785035,3862754,487139721,2,6559,1354195,6347,1305804,212,48391,2514,18,4762,130,2,80,229410.0,130000.0,-52.0,-48.0,-42.0,-48.0,-51.0,-48.0,-44.0,-47.0,-87.0,-87.0,-84.0,-86.0,35.0,39.0,42.0,38.0,1
