sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
3031,62:47:05:9D:EB:15,3845162,487115255,2161,2435262,3843001,484679993,0,4398,3019344,4366,3014225,32,5119,2071,0,2217,56,0,106,229410.0,130000.0,-47.0,-47.0,-39.0,-45.0,-46.0,-46.0,-39.0,-46.0,-87.0,-87.0,-83.0,-85.0,40.0,40.0,44.0,40.0,1
3032,3C:55:76:E8:8F:1F,3929815,701290504,86814,216610511,3843001,484679993,42,42175,8854069,41559,8744469,616,109600,17452,46,86891,9868,42,617,286760.0,162500.0,-48.0,-55.0,-47.0,-45.0,-48.0,-54.0,-46.0,-45.0,-87.0,-87.0,-83.0,-85.0,39.0,32.0,36.0,40.0,1
3033,92:69:1D:31:68:E9,3847018,488329528,4015,3649333,3843003,484680195,0,5192,1141624,5031,1105121,161,36503,2188,12,4255,102,0,56,229410.0,130000.0,-54.0,-47.0,-42.0,-48.0,-51.0,-47.0,-43.0,-46.0,-87.0,-87.0,-83.0,-85.0,33.0,40.0,41.0,37.0,1
3034,CC:2F:71:3F:1F:24,4900032,1676195781,1057029,1191515586,3843003,484680195,479,874802,968127941,874006,968031683,796,96258,845456,15,1056850,109949,476,677,86667.0,14444.0,-74.0,-76.0,-70.0,-78.0,-73.0,-75.0,-69.0,-78.0,-87.0,-88.0,-84.0,-86.0,13.0,12.0,14.0,8.0,1
3035,CC:2F:71:3E:C5:1F,3843953,484796154,949,115899,3843004,484680255,0,3972,333521,3277,250981,695,82540,1005,12,1367,26,0,52,144444.0,39000.0,-73.0,-71.0,-70.0,-61.0,-73.0,-72.0,-70.0,-61.0,-87.0,-88.0,-84.0,-86.0,14.0,17.0,14.0,25.0,1
3036,BA:8C:B9:54:50:24,3847900,490869787,4896,6189532,3843004,484680255,0,9431,1729572,9409,1726077,22,3495,2354,17,5379,41,0,66,216660.0,130000.0,-40.0,-37.0,-46.0,-52.0,-43.0,-35.0,-43.0,-47.0,-87.0,-88.0,-84.0,-86.0,47.0,51.0,38.0,34.0,1
3037,62:47:05:9D:EB:15,3845169,487115921,2161,2435262,3843008,484680659,0,4398,3019344,4366,3014225,32,5119,2071,0,2217,56,0,106,229410.0,130000.0,-47.0,-47.0,-39.0,-45.0,-46.0,-46.0,-39.0,-46.0,-87.0,-88.0,-84.0,-86.0,40.0,41.0,45.0,41.0,1
3038,3C:55:76:E8:8F:1F,3929895,701343286,86886,216662567,3843009,484680719,42,42247,8880352,41630,8770646,617,109706,17488,46,86963,9868,42,617,286760.0,172050.0,-46.0,-53.0,-49.0,-45.0,-47.0,-53.0,-49.0,-45.0,-87.0,-88.0,-84.0,-86.0,41.0,35.0,35.0,41.0,1
3039,92:69:1D:31:68:E9,3847024,488330052,4015,3649333,3843009,484680719,0,5193,1141692,5032,1105189,161,36503,2188,12,4255,102,0,56,229410.0,130000.0,-52.0,-49.0,-45.0,-49.0,-52.0,-48.0,-43.0,-46.0,-87.0,-88.0,-84.0,-86.0,35.0,39.0,39.0,37.0,1
3040,CC:2F:71:3F:1F:24,4900255,1676462235,1057244,1191781314,3843011,484680921,479,874994,968374736,874198,968278478,796,96258,845648,15,1057065,109949,476,677,86667.0,14444.0,-72.0,-75.0,-71.0,-77.0,-71.0,-74.0,-70.0,-76.0,-87.0,-88.0,-84.0,-86.0,15.0,13.0,13.0,9.0,1
